Brand,Processor_Brand,Processor_Full,Price,Discount,Original_price,RAM_GB,OS,Platform,Storage_GB,Storage_unit,Display_cm,Display_inch,Warranty,Availability,Processor_Gen_Num,Clean_Description
Msi,Intel,Intel Core i7 Processor (14th Gen),239990,27,329990.0,32.0,Windows 11,Windows,2048.0,TB,43.18,17.0,2.0,In Stock,14.0,Intel Core i7 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Touchscreen Display; 2 Year Onsite Warranty
Apple,Apple,Apple M1 Pro Processor,239900,0,239900.0,16.0,Mac OS,Mac,1024.0,TB,36.07,14.2,1.0,In Stock,1.0,"Apple M1 Pro Processor; 16 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 36.07 cm (14.2 inch) Display; iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player; 1 Year Limited Warranty"
Apple,Apple,Apple M4 Pro Processor,239900,0,239900.0,24.0,Mac OS,Mac,1024.0,TB,35.56,14.0,1.0,In Stock,4.0,"Apple M4 Pro Processor; 24 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 35.56 cm (14 Inch) Display; Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather; 1 Year Limited Warranty"
Asus,Intel,Intel Core Ultra 9 Processor,237990,38,383990.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,"Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty"
Msi,Intel,Intel Core Ultra 7 Processor (14th Gen),230990,6,246990.0,16.0,Windows 11,Windows,1024.0,TB,40.64,16.0,2.0,In Stock,14.0,Intel Core Ultra 7 Processor (14th Gen); 16 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 2 Year On-Site Warranty
Asus,AMD,AMD Ryzen 9 Octa Core Processor,227990,0,227990.0,32.0,Windows 10,Windows,1024.0,TB,39.62,15.6,1.0,In Stock,9.0,AMD Ryzen 9 Octa Core Processor; 32 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 1 Year Onsite Warranty
Microsoft,Snapdragon,Snapdragon X Elite Processor,227990,4,237999.0,32.0,Windows 11,Windows,1024.0,TB,33.02,13.0,1.0,In Stock,12.0,Snapdragon X Elite Processor; 32 GB LPDDR5X RAM; Windows 11 Operating System; 1 TB SSD; 33.02 cm (13 Inch) Touchscreen Display; 1 Year Onsite Warranty
Msi,Intel,Intel Core Ultra 7 Processor,226990,10,254990.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,2.0,In Stock,14.0,Intel Core Ultra 7 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; 2 Year On-Site Warranty
Msi,Intel,Intel Core i9 Processor (13th Gen),224990,33,335990.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,2.0,In Stock,13.0,Intel Core i9 Processor (13th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 2 Year Onsite Warranty
Msi,AMD,AMD Ryzen 9 16 Core Processor,223990,0,223990.0,16.0,Windows 11,Windows,1024.0,TB,40.64,16.0,2.0,In Stock,9.0,AMD Ryzen 9 16 Core Processor; 16 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Microsoft Office Home & Student�2021; 2 Year On-Site Warranty
Alienware,Intel,NVIDIA GeForce GTX 1660 Ti,223322,0,223322.0,16.0,Windows 10,Windows,512.0,GB SSD,39.62,15.6,1.0,In Stock,10.0,"NVIDIA GeForce GTX 1660 Ti; 15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits; Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance; Tobii-eye tracking to track head pose, presence, fine gaze and eye position; In-built Alienware Command center software with enhanced control over system settings; Intel Core i7 Processor (10th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 512 GB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
Lenovo,Intel,Intel Core i7 Processor (10th Gen),221825,36,349890.0,16.0,Windows 10,Windows,1024.0,TB,39.62,15.6,3.0,In Stock,10.0,Intel Core i7 Processor (10th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 3 Years Warranty + 1 Year Legion Ultimate Support + 1 Year ADP
Asus,Intel,Intel Core Ultra 9 Processor,219990,24,290990.0,32.0,Windows 11,Windows,2048.0,TB,35.56,14.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB LPDDR5X RAM; Windows 11 Operating System; 2 TB SSD; 35.56 cm (14 Inch) Touchscreen Display; 1 Year Onsite warranty
Msi,Intel,Intel Core Ultra 9 Processor,219990,21,279990.0,32.0,Windows 11,Windows,2048.0,TB,40.64,16.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 40.64 cm (16 Inch) Display; 2 Year Carry-in Warranty
Acer,Intel,Intel Core i9 Processor (14th Gen),218000,15,256999.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core i9 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 1 Year International Travelers Warranty (ITW)
Dell,Intel,Intel Core Ultra 9 Processor,217990,17,262952.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Alienware Command Centre 6.0; 1 Year Onsite Hardware Service
Hp,Intel,Intel Core i9 Processor (12th Gen),216500,38,349990.0,32.0,Windows 11,Windows,2048.0,TB,43.94,17.3,1.0,In Stock,12.0,Intel Core i9 Processor (12th Gen); 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 43.94 cm (17.3 Inch) Display; 1 Year Onsite Warranty
Dell,Intel,Intel Core Ultra 9 Processor,214490,10,238646.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Alienware Command Centre 6.0; 1 Year Onsite Hardware Service
Lenovo,Intel,Intel Core Ultra 7 Processor,212615,32,314890.0,32.0,Windows 11,Windows,1024.0,TB,33.78,13.3,1.0,In Stock,14.0,Intel Core Ultra 7 Processor; 32 GB LPDDR5X RAM; Windows 11 Operating System; 1 TB SSD; 33.78 cm (13.3 inch) Touchscreen Display; Office Home & Student 2021; 1 Year Carry-in Warranty
Asus,Intel,First Ever Screenpad,209990,0,209990.0,16.0,Windows 10,Windows,1024.0,TB,39.62,15.6,1.0,In Stock,8.0,First Ever Screenpad; NVIDIA GeForce GTX 1050 Ti; Intel Core i9 Processor (8th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Touchscreen Display; 1 Year Onsite Warranty
Acer,Intel,Intel Core Ultra 9 Processor,209990,7,227999.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 1 Year Warranty
Asus,Intel,Intel Core Ultra 9 Processor,209990,23,275990.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,"Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), , McAfee 1 year, Xbox Game Pass for 3 months; 1 Year Onsite Warranty"
Msi,Intel,Intel Core Ultra 9 Processor,209990,10,234990.0,32.0,Windows 11,Windows,1024.0,TB,43.18,17.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 43.18 cm (17 inch) Display; 2 Year On-Site Warranty
